ParkID,Location,Notes,SummerHours,WinterHours
196,"North side, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
197,North side,,Dawn to Dusk,Dawn to Dusk
200,Barclay Manor (WECC),,Hours of the centre,Hours of the centre
201,Bathhouse,,7:00 am - Dusk,10:00 am - Dusk
206,Park Board Main office,Wheelchair accessible,Weekdays only 8:30 am - 5:00 pm,Weekdays only 8:30 am - 5:00 pm
206,"2nd Beach, fieldhouse",Wheelchair accessible,7:00 am - Dusk,7:00 am - Dusk
206,"3rd Beach, fieldhouse",Wheelchair accessible at parking lot level,7:00 am - Dusk,7:00 am - Dusk
206,Aquarium plaza,Wheelchair accessible,7:00 am - Dusk,7:00 am - Dusk
206,Brockton Oval,Wheelchair accessible,5:30 am - Dusk,5:30 am - Dusk
206,Ceperley Picnic Shelter,Wheelchair accessible,May 1- Sept 30  7:00 am - Dusk,Closed
206,Chilco,Wheelchair accessible,8:00 am - Dusk,10:00 am - Dusk
206,Fish House,Key to accessible washroom on west side of Fish House available at Pitch and Putt Golf Course ticket booth,7:00 am - Dusk,10:00 am - Dusk
206,Info Booth,Wheelchair accessible,7:00 am - Dusk,10:00 am - Dusk
206,Lumberman's Arch,Wheelchair accessible,5:30 am - Dusk,5:30 am - Dusk
206,Pavilion,"Accessible washroom entered from parking lot level, to the left side of the building.",5:30 am - Dusk,7:00 am - Dusk
206,Pitch & Putt Golf Course,"Not accessible, key to accessible washroom on west side of Fish House available at ticket booth",9:00 am - Dusk,9:00 am - Dusk
206,Prospect Point,Wheelchair accessible,7:00 am - Dusk,7:00 am - Dusk
206,"Prospect Point Picnic, fieldhouse",Wheelchair accessible,Dawn to Dusk,Dawn to Dusk
206,Service yard,Wheelchair accessible,Mon - Fri 7:00 am - 3:30 pm,Mon - Fri 7:00 am - 3:30 pm
206,Totems,Wheelchair accessible,5:30 am - Dusk,7:30 am - Dusk
206,"Train, Picnic Shelter",Wheelchair accessible,5:30 am - Dusk,9:00 am - Dusk
207,Concession,Caretaker on site,Dawn to Dusk,7:00 am - Dusk
218,Concession/fieldhouse,Caretaker on site,Dawn to Dusk,Dawn to Dusk
218,Service Yard - public exterior attached to service building,,Dawn to Dusk,Dawn - 11:00 pm
219,Concession at fieldhouse,Caretaker on site,Dawn to Dusk,Dawn to Dusk
220,"East, fieldhouse",Caretaker on site,Dawn to Dusk,Dawn to Dusk
220,"West, fieldhouse",,Dawn to Dusk,Dawn to Dusk
221,Centre,,Dawn to Dusk,Dawn to Dusk
245,,,Dawn to 10:15 pm,Dawn to 10:15 pm
